_id,OBJECTID,TCDSB_CODE,SCH_NAME,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,TCDSB_LEVEL,STATUS,geometry
91,90,351,St Barnabas,30 Washburn Way,Scarborough,M1B 1H3,E,Open,"{'type': 'Point', 'coordinates': (-79.22851191745151, 43.79724121942141)}"
92,91,334,St Bartholomew,51 Heather Rd,Scarborough,M1S 2E2,E,Open,"{'type': 'Point', 'coordinates': (-79.27161837430239, 43.78960340585019)}"
93,92,425,St Bede,521 Sewell's Rd,Scarborough,M1B 5H3,E,Open,"{'type': 'Point', 'coordinates': (-79.20654770327594, 43.81797890816554)}"
94,93,513,St Basil the Great College,20 Starview Lane,North York,M9M 3B2,S,Open,"{'type': 'Point', 'coordinates': (-79.53345069207724, 43.72716808985252)}"
95,94,267,St Benedict,2202 Kipling Ave,Etobicoke,M9W 4K9,E,Open,"{'type': 'Point', 'coordinates': (-79.57332277293271, 43.72304379308486)}"
96,95,261,St Bernard,12 Duckworth St,North York,M6M 4W4,E,Open,"{'type': 'Point', 'coordinates': (-79.50060787013987, 43.702506219678234)}"
97,96,263,St Bonaventure,1340 Leslie St,North York,M3C 2K9,E,Open,"{'type': 'Point', 'coordinates': (-79.35625363682641, 43.7330323496975)}"
98,97,277,St Boniface,20 Markanna Dr,Scarborough,M1M 2J1,E,Open,"{'type': 'Point', 'coordinates': (-79.21997301547015, 43.740920250035025)}"
99,98,359,St Brendan,186 Centennial Rd,Scarborough,M1C 1Z9,E,Open,"{'type': 'Point', 'coordinates': (-79.14925055324339, 43.782546952306404)}"
100,99,235,St Brigid,50 Woodmount Ave,former Toronto,M4C 3X9,E,Open,"{'type': 'Point', 'coordinates': (-79.3168992946855, 43.68694895106971)}"
101,100,376,St Bruno/St Raymond,402 Melita Cres,former Toronto,M6G 3X6,E,Open,"{'type': 'Point', 'coordinates': (-79.427062927767, 43.67323994539433)}"
102,101,316,St Catherine,30 Roanoke Rd,North York,M3A 1E9,E,Open,"{'type': 'Point', 'coordinates': (-79.3247390774717, 43.742335267451935)}"
103,102,218,St Cecilia,355 Annette St,former Toronto,M6P 1R3,E,Open,"{'type': 'Point', 'coordinates': (-79.47452605028533, 43.661099770782066)}"
