,Unnamed: 0,lat,long,score,cluster
6,6,43.5928,-79.56041428571429,1.4406106854867842,1
7,7,43.5928,-79.5506,3.5589448846566905,1
8,8,43.5928,-79.54078571428572,5.400946243210058,1
9,9,43.5928,-79.53097142857142,6.124130104960384,1
10,10,43.5928,-79.52115714285713,6.557545412196019,1
11,11,43.5928,-79.51134285714285,6.741165143187719,1
12,12,43.5928,-79.50152857142857,5.313968052566561,1
13,13,43.5928,-79.49171428571428,2.5971216890633446,1
14,14,43.5928,-79.4819,0.7385622027424711,1
55,55,43.59768775510204,-79.57022857142857,0.7642329887469547,1
56,56,43.59768775510204,-79.56041428571429,2.538602667549417,1
57,57,43.59768775510204,-79.5506,5.242189180879145,1
58,58,43.59768775510204,-79.54078571428572,6.993439842811343,1
59,59,43.59768775510204,-79.53097142857142,7.383451271327672,1
60,60,43.59768775510204,-79.52115714285713,8.131827049547638,1
61,61,43.59768775510204,-79.51134285714285,9.17903114456337,1
62,62,43.59768775510204,-79.50152857142857,7.975414740038057,1
63,63,43.59768775510204,-79.49171428571428,4.393480762084458,1
64,64,43.59768775510204,-79.4819,1.530991357006634,1
105,105,43.60257551020408,-79.57022857142857,1.5231714923619448,1
106,106,43.60257551020408,-79.56041428571429,4.030995166135424,1
107,107,43.60257551020408,-79.5506,6.667805190879292,1
108,108,43.60257551020408,-79.54078571428572,7.464889244433496,1
109,109,43.60257551020408,-79.53097142857142,7.003845911617478,1
110,110,43.60257551020408,-79.52115714285713,7.611892480495705,1
111,111,43.60257551020408,-79.51134285714285,9.306480548762758,1
112,112,43.60257551020408,-79.50152857142857,9.16249764774894,1
113,113,43.60257551020408,-79.49171428571428,6.166805976490776,1
114,114,43.60257551020408,-79.4819,2.87473610007679,1
115,115,43.60257551020408,-79.47208571428571,0.8948042500385982,1
154,154,43.60746326530612,-79.58004285714286,0.5979975259900907,1
155,155,43.60746326530612,-79.57022857142857,2.5379427179386607,1
156,156,43.60746326530612,-79.56041428571429,5.7967368038042695,1
157,157,43.60746326530612,-79.5506,7.917715590664309,1
158,158,43.60746326530612,-79.54078571428572,7.391975788708571,1
159,159,43.60746326530612,-79.53097142857142,5.997450137098884,1
160,160,43.60746326530612,-79.52115714285713,6.046964580212986,1
161,161,43.60746326530612,-79.51134285714285,7.793463697962278,1
162,162,43.60746326530612,-79.50152857142857,9.144384859209136,1
163,163,43.60746326530612,-79.49171428571428,8.074880794426075,1
164,164,43.60746326530612,-79.4819,4.953880048578683,1
165,165,43.60746326530612,-79.47208571428571,1.872727533921796,1
204,204,43.61235102040816,-79.58004285714286,0.8045302790936923,1
205,205,43.61235102040816,-79.57022857142857,3.320108255504661,1
206,206,43.61235102040816,-79.56041428571429,7.133623418641664,1
207,207,43.61235102040816,-79.5506,8.846169088564784,1
