,Unnamed: 0,lat,long,score,cluster
6377,6377,51.06765454545455,-113.98215555555556,7.080226670010507,4
6378,6378,51.06765454545455,-113.97880303030304,6.247555053526885,4
6379,6379,51.06765454545455,-113.9754505050505,5.279163377102695,4
6380,6380,51.06765454545455,-113.97209797979798,4.285993146910495,4
6381,6381,51.06765454545455,-113.96874545454546,3.3685701604584053,4
6382,6382,51.06765454545455,-113.96539292929292,2.595140824377512,4
6383,6383,51.06765454545455,-113.9620404040404,1.9927621846551529,4
6384,6384,51.06765454545455,-113.95868787878788,1.552095886734834,4
6385,6385,51.06765454545455,-113.95533535353536,1.241144715230868,4
6386,6386,51.06765454545455,-113.95198282828282,1.0208749168688396,4
6387,6387,51.06765454545455,-113.9486303030303,0.8569552974962155,4
6388,6388,51.06765454545455,-113.94527777777778,0.7252054095211186,4
6389,6389,51.06765454545455,-113.94192525252524,0.6116287326720298,4
6390,6390,51.06765454545455,-113.93857272727271,0.5096145780509962,4
6403,6403,51.07088080808081,-114.23024242424243,0.7201497332966785,5
6404,6404,51.07088080808081,-114.22688989898992,1.0477632170022677,5
6405,6405,51.07088080808081,-114.22353737373736,1.4268153606401557,5
6406,6406,51.07088080808081,-114.22018484848483,1.8195752490967072,5
6407,6407,51.07088080808081,-114.21683232323232,2.174701925594443,5
6408,6408,51.07088080808081,-114.2134797979798,2.438549223240375,5
6409,6409,51.07088080808081,-114.21012727272728,2.569623403450808,5
6410,6410,51.07088080808081,-114.20677474747475,2.550976400962108,5
6411,6411,51.07088080808081,-114.20342222222224,2.395734156921146,5
6412,6412,51.07088080808081,-114.2000696969697,2.1438589956610072,5
6413,6413,51.07088080808081,-114.19671717171718,1.852031730416492,5
6414,6414,51.07088080808081,-114.19336464646464,1.581031683236304,5
6415,6415,51.07088080808081,-114.19001212121212,1.3849212575789551,5
6416,6416,51.07088080808081,-114.1866595959596,1.304164504668962,5
6417,6417,51.07088080808081,-114.18330707070707,1.3622536954421538,5
6418,6418,51.07088080808081,-114.17995454545456,1.5641748651045029,5
6419,6419,51.07088080808081,-114.17660202020204,1.895628379425888,5
6420,6420,51.07088080808081,-114.1732494949495,2.323470544318305,5
6421,6421,51.07088080808081,-114.16989696969698,2.798873549160155,5
6422,6422,51.07088080808081,-114.16654444444444,3.2642302995001904,5
6423,6423,51.07088080808081,-114.16319191919192,3.6630797520617393,5
6424,6424,51.07088080808081,-114.1598393939394,3.950533991493204,5
