,Unnamed: 0,lat,long,score,cluster
57,57,50.8644,-114.04920606060608,0.6335476959914688,1
58,58,50.8644,-114.04585353535354,0.8725779021016771,1
59,59,50.8644,-114.042501010101,1.149062805350756,1
60,60,50.8644,-114.03914848484848,1.4310414468908716,1
61,61,50.8644,-114.03579595959596,1.67661148606721,1
62,62,50.8644,-114.03244343434343,1.843104327979543,5
63,63,50.8644,-114.02909090909093,1.89846927755546,5
64,64,50.8644,-114.0257383838384,1.8307913021210316,5
65,65,50.8644,-114.02238585858586,1.652039789825761,5
66,66,50.8644,-114.01903333333334,1.3943656358405483,5
67,67,50.8644,-114.01568080808082,1.100460131028155,5
68,68,50.8644,-114.01232828282828,0.811915914759552,5
69,69,50.8644,-114.00897575757575,0.5599190877782064,5
156,156,50.86762626262627,-114.0525585858586,0.5336187987978824,1
157,157,50.86762626262627,-114.04920606060608,0.704637562014356,1
158,158,50.86762626262627,-114.04585353535354,0.9305504545795678,1
159,159,50.86762626262627,-114.042501010101,1.1918435572306665,1
160,160,50.86762626262627,-114.03914848484848,1.4554005816737734,1
161,161,50.86762626262627,-114.03579595959596,1.6798450658838502,1
162,162,50.86762626262627,-114.03244343434343,1.8247375239466688,5
163,163,50.86762626262627,-114.02909090909093,1.8611969677843323,5
164,164,50.86762626262627,-114.0257383838384,1.7802383823648338,5
165,165,50.86762626262627,-114.02238585858586,1.5954731144963814,5
166,166,50.86762626262627,-114.01903333333334,1.33893540527794,5
167,167,50.86762626262627,-114.01568080808082,1.0516768679843935,5
168,168,50.86762626262627,-114.01232828282828,0.772859344630563,5
169,169,50.86762626262627,-114.00897575757575,0.5312902906099558,5
249,249,50.87085252525253,-114.07602626262629,0.5050318507658251,1
250,250,50.87085252525253,-114.07267373737372,0.5400338620536177,1
251,251,50.87085252525253,-114.0693212121212,0.5466230871547134,1
252,252,50.87085252525253,-114.06596868686869,0.5311629710688288,1
253,253,50.87085252525253,-114.06261616161616,0.5083868267043836,1
255,255,50.87085252525253,-114.05591111111112,0.5223716220140725,1
256,256,50.87085252525253,-114.0525585858586,0.5961531071805954,1
257,257,50.87085252525253,-114.04920606060608,0.7263161522641811,1
258,258,50.87085252525253,-114.04585353535354,0.9064280974298984,1
259,259,50.87085252525253,-114.042501010101,1.1164407593400278,1
260,260,50.87085252525253,-114.03914848484848,1.325226229432649,1
261,261,50.87085252525253,-114.03579595959596,1.496453901849495,1
262,262,50.87085252525253,-114.03244343434343,1.5968504789050024,5
263,263,50.87085252525253,-114.02909090909093,1.6046764584390891,5
264,264,50.87085252525253,-114.0257383838384,1.515610366797563,5
265,265,50.87085252525253,-114.02238585858586,1.3437846353982856,5
266,266,50.87085252525253,-114.01903333333334,1.1174589238991182,5
267,267,50.87085252525253,-114.01568080808082,0.8709592046056525,5
268,268,50.87085252525253,-114.01232828282828,0.6359270891814458,5
281,281,50.87085252525253,-113.96874545454546,0.5093480276413564,5
282,282,50.87085252525253,-113.96539292929292,0.6081996381873833,5
283,283,50.87085252525253,-113.9620404040404,0.6783624183859202,5
284,284,50.87085252525253,-113.95868787878788,0.7067498669906012,5
285,285,50.87085252525253,-113.95533535353536,0.6878238770995906,5
286,286,50.87085252525253,-113.95198282828282,0.6253598290742738,5
287,287,50.87085252525253,-113.9486303030303,0.5312244855727695,5
347,347,50.8740787878788,-114.08273131313132,0.5101358187456007,1
348,348,50.8740787878788,-114.0793787878788,0.6190518993123699,1
349,349,50.8740787878788,-114.07602626262629,0.7033878350326748,1
350,350,50.8740787878788,-114.07267373737372,0.7500465405813558,1
351,351,50.8740787878788,-114.0693212121212,0.7542959324564444,1
352,352,50.8740787878788,-114.06596868686869,0.7224986160919628,1
353,353,50.8740787878788,-114.06261616161616,0.6714293268766827,1
354,354,50.8740787878788,-114.05926363636364,0.624194256405929,1
355,355,50.8740787878788,-114.05591111111112,0.6040411692654942,1
356,356,50.8740787878788,-114.0525585858586,0.6279870461731295,1
357,357,50.8740787878788,-114.04920606060608,0.7020417254257539,1
358,358,50.8740787878788,-114.04585353535354,0.8191595814214815,1
