,lat,long,score
0,43.631,-123.2108,0.0
1,43.631,-122.76715656565658,0.0
2,43.631,-122.32351313131313,0.0
3,43.631,-121.8798696969697,0.0
4,43.631,-121.43622626262626,0.0
5,43.631,-120.99258282828283,0.0
6,43.631,-120.5489393939394,0.0
7,43.631,-120.10529595959596,0.0
8,43.631,-119.66165252525253,0.0
9,43.631,-119.21800909090909,0.0
10,43.631,-118.77436565656566,0.0
11,43.631,-118.33072222222222,0.0
12,43.631,-117.88707878787879,0.0
13,43.631,-117.44343535353536,0.0
14,43.631,-116.99979191919192,0.0
15,43.631,-116.55614848484849,0.0
16,43.631,-116.11250505050505,0.0
17,43.631,-115.66886161616162,0.0
18,43.631,-115.22521818181819,0.0
19,43.631,-114.78157474747475,0.0
20,43.631,-114.33793131313132,0.0
21,43.631,-113.89428787878788,0.0
22,43.631,-113.45064444444445,0.0
23,43.631,-113.00700101010102,0.0
24,43.631,-112.56335757575758,0.0
25,43.631,-112.11971414141415,0.0
26,43.631,-111.6760707070707,0.0
27,43.631,-111.23242727272728,0.0
28,43.631,-110.78878383838384,0.0
29,43.631,-110.34514040404041,0.0
30,43.631,-109.90149696969698,0.0
31,43.631,-109.45785353535354,0.0
32,43.631,-109.01421010101011,0.0
33,43.631,-108.57056666666666,0.0
34,43.631,-108.12692323232324,0.0
35,43.631,-107.6832797979798,0.0
36,43.631,-107.23963636363636,0.0
37,43.631,-106.79599292929294,0.0
38,43.631,-106.3523494949495,0.0
39,43.631,-105.90870606060606,0.0
40,43.631,-105.46506262626264,0.0
41,43.631,-105.0214191919192,0.0
42,43.631,-104.57777575757575,0.0
43,43.631,-104.13413232323232,0.0
44,43.631,-103.6904888888889,0.0
45,43.631,-103.24684545454545,0.0
46,43.631,-102.80320202020202,0.0
47,43.631,-102.3595585858586,0.0
48,43.631,-101.91591515151515,0.0
49,43.631,-101.47227171717172,0.0
50,43.631,-101.02862828282828,0.0
51,43.631,-100.58498484848485,0.0
52,43.631,-100.14134141414141,0.0
53,43.631,-99.69769797979798,0.0
54,43.631,-99.25405454545455,0.0
55,43.631,-98.81041111111111,0.0
56,43.631,-98.36676767676768,0.0
57,43.631,-97.92312424242425,0.0
58,43.631,-97.47948080808081,0.0
59,43.631,-97.03583737373737,0.0
60,43.631,-96.59219393939394,0.0
61,43.631,-96.14855050505051,0.0
62,43.631,-95.70490707070707,0.0
63,43.631,-95.26126363636364,0.0
64,43.631,-94.81762020202021,0.0
65,43.631,-94.37397676767677,0.0
66,43.631,-93.93033333333334,0.0
67,43.631,-93.4866898989899,0.0
68,43.631,-93.04304646464647,0.0
69,43.631,-92.59940303030302,0.0
70,43.631,-92.1557595959596,0.0
71,43.631,-91.71211616161617,0.0
72,43.631,-91.26847272727272,0.0
73,43.631,-90.8248292929293,0.0
74,43.631,-90.38118585858587,0.0
75,43.631,-89.93754242424242,0.0
76,43.631,-89.49389898989898,0.0
77,43.631,-89.05025555555555,0.0
78,43.631,-88.60661212121212,0.0
79,43.631,-88.16296868686868,0.0
80,43.631,-87.71932525252525,0.0
81,43.631,-87.27568181818182,0.0
82,43.631,-86.83203838383838,0.0
83,43.631,-86.38839494949494,0.0
84,43.631,-85.94475151515151,0.0
85,43.631,-85.50110808080808,0.0
86,43.631,-85.05746464646464,0.0
87,43.631,-84.61382121212121,0.0
88,43.631,-84.17017777777778,0.0
89,43.631,-83.72653434343434,0.0
90,43.631,-83.2828909090909,0.0
91,43.631,-82.83924747474748,0.0
92,43.631,-82.39560404040404,0.0
93,43.631,-81.9519606060606,0.0
94,43.631,-81.50831717171717,0.0
95,43.631,-81.06467373737374,0.0
96,43.631,-80.6210303030303,0.0
97,43.631,-80.17738686868687,0.0
98,43.631,-79.73374343434344,0.0
99,43.631,-79.2901,0.0
100,43.68839090909091,-123.2108,0.0
101,43.68839090909091,-122.76715656565658,0.0
102,43.68839090909091,-122.32351313131313,0.0
103,43.68839090909091,-121.8798696969697,0.0
104,43.68839090909091,-121.43622626262626,0.0
105,43.68839090909091,-120.99258282828283,0.0
106,43.68839090909091,-120.5489393939394,0.0
107,43.68839090909091,-120.10529595959596,0.0
108,43.68839090909091,-119.66165252525253,0.0
109,43.68839090909091,-119.21800909090909,0.0
110,43.68839090909091,-118.77436565656566,0.0
111,43.68839090909091,-118.33072222222222,0.0
112,43.68839090909091,-117.88707878787879,0.0
113,43.68839090909091,-117.44343535353536,0.0
114,43.68839090909091,-116.99979191919192,0.0
115,43.68839090909091,-116.55614848484849,0.0
116,43.68839090909091,-116.11250505050505,0.0
117,43.68839090909091,-115.66886161616162,0.0
118,43.68839090909091,-115.22521818181819,0.0
119,43.68839090909091,-114.78157474747475,0.0
120,43.68839090909091,-114.33793131313132,0.0
121,43.68839090909091,-113.89428787878788,0.0
122,43.68839090909091,-113.45064444444445,0.0
123,43.68839090909091,-113.00700101010102,0.0
124,43.68839090909091,-112.56335757575758,0.0
125,43.68839090909091,-112.11971414141415,0.0
126,43.68839090909091,-111.6760707070707,0.0
127,43.68839090909091,-111.23242727272728,0.0
128,43.68839090909091,-110.78878383838384,0.0
129,43.68839090909091,-110.34514040404041,0.0
130,43.68839090909091,-109.90149696969698,0.0
131,43.68839090909091,-109.45785353535354,0.0
132,43.68839090909091,-109.01421010101011,0.0
133,43.68839090909091,-108.57056666666666,0.0
134,43.68839090909091,-108.12692323232324,0.0
