,Unnamed: 0,lat,long,score,cluster
13,13,44.2188,-76.57391212121213,0.5497248291479363,6
14,14,44.2188,-76.57115151515153,0.5754644136400346,6
15,15,44.2188,-76.56839090909091,0.5699397352430363,6
16,16,44.2188,-76.5656303030303,0.5350341503134933,6
28,28,44.2188,-76.53250303030303,0.5071501987967694,2
29,29,44.2188,-76.52974242424243,0.6220113156258377,2
30,30,44.2188,-76.52698181818182,0.757290283248238,2
31,31,44.2188,-76.52422121212122,0.9246943240575846,2
32,32,44.2188,-76.52146060606061,1.144823252677824,2
33,33,44.2188,-76.51870000000001,1.4470273658874038,2
34,34,44.2188,-76.5159393939394,1.8665732106178157,2
35,35,44.2188,-76.51317878787879,2.4388382939830944,2
36,36,44.2188,-76.51041818181818,3.191103972234907,2
37,37,44.2188,-76.50765757575758,4.133410228077564,0
38,38,44.2188,-76.50489696969697,5.250519864132047,0
39,39,44.2188,-76.50213636363637,6.497032982238792,0
40,40,44.2188,-76.49937575757576,7.7971055116135695,0
41,41,44.2188,-76.49661515151516,9.049382300002002,0
42,42,44.2188,-76.49385454545455,10.137033977253852,0
43,43,44.2188,-76.49109393939395,10.942259381550514,0
44,44,44.2188,-76.48833333333334,11.3639559169547,0
45,45,44.2188,-76.48557272727273,11.336116004212716,0
46,46,44.2188,-76.48281212121212,10.843070592588557,1
47,47,44.2188,-76.48005151515152,9.926901979542732,1
48,48,44.2188,-76.47729090909091,8.683319187836291,1
49,49,44.2188,-76.4745303030303,7.245385173430049,1
50,50,44.2188,-76.4717696969697,5.75868212095729,1
51,51,44.2188,-76.4690090909091,4.354790325097803,1
52,52,44.2188,-76.46624848484849,3.130568040124939,1
53,53,44.2188,-76.46348787878789,2.1382888674548064,1
54,54,44.2188,-76.46072727272728,1.3874914886171337,1
55,55,44.2188,-76.45796666666666,0.8554938337720095,1
56,56,44.2188,-76.45520606060606,0.5015404298401346,1
112,112,44.21983838383839,-76.57667272727274,0.5273470375747019,6
113,113,44.21983838383839,-76.57391212121213,0.5852490569066285,6
114,114,44.21983838383839,-76.57115151515153,0.6143574482073827,6
115,115,44.21983838383839,-76.56839090909091,0.6108261102720353,6
116,116,44.21983838383839,-76.5656303030303,0.5764645560341355,6
117,117,44.21983838383839,-76.5628696969697,0.5182543447470542,6
128,128,44.21983838383839,-76.53250303030303,0.5660173133764432,2
129,129,44.21983838383839,-76.52974242424243,0.693793056534014,2
130,130,44.21983838383839,-76.52698181818182,0.8462827528383329,2
131,131,44.21983838383839,-76.52422121212122,1.0375409070471406,2
132,132,44.21983838383839,-76.52146060606061,1.2918866185039075,2
133,133,44.21983838383839,-76.51870000000001,1.6438339081163935,2
134,134,44.21983838383839,-76.5159393939394,2.134947921565576,2
135,135,44.21983838383839,-76.51317878787879,2.807248837032485,2
136,136,44.21983838383839,-76.51041818181818,3.693734464009514,2
137,137,44.21983838383839,-76.50765757575758,4.807621867072863,0
138,138,44.21983838383839,-76.50489696969697,6.132625877687874,0
139,139,44.21983838383839,-76.50213636363637,7.616679278822237,0
140,140,44.21983838383839,-76.49937575757576,9.170941974337582,0
141,141,44.21983838383839,-76.49661515151516,10.675064397454417,0
142,142,44.21983838383839,-76.49385454545455,11.988838419826854,0
143,143,44.21983838383839,-76.49109393939395,12.969637286091004,0
144,144,44.21983838383839,-76.48833333333334,13.494063996153791,0
145,145,44.21983838383839,-76.48557272727273,13.480672662263256,0
146,146,44.21983838383839,-76.48281212121212,12.908830092207491,1
147,147,44.21983838383839,-76.48005151515152,11.82789786774455,1
148,148,44.21983838383839,-76.47729090909091,10.352244517731105,1
149,149,44.21983838383839,-76.4745303030303,8.64146899475779,1
150,150,44.21983838383839,-76.4717696969697,6.870319332419781,1
151,151,44.21983838383839,-76.4690090909091,5.196696938130159,1
152,152,44.21983838383839,-76.46624848484849,3.7367711961631382,1
153,153,44.21983838383839,-76.46348787878789,2.553221985301748,1
154,154,44.21983838383839,-76.46072727272728,1.6575507040544029,1
155,155,44.21983838383839,-76.45796666666666,1.022738647093454,1
156,156,44.21983838383839,-76.45520606060606,0.6001991770208692,1
212,212,44.22087676767677,-76.57667272727274,0.5603388091503512,6
213,213,44.22087676767677,-76.57391212121213,0.6232081034283982,6
214,214,44.22087676767677,-76.57115151515153,0.6562884499940578,6
215,215,44.22087676767677,-76.56839090909091,0.6554136784938971,6
216,216,44.22087676767677,-76.5656303030303,0.6222726563237213,6
217,217,44.22087676767677,-76.5628696969697,0.5639365470177289,6
227,227,44.22087676767677,-76.53526363636364,0.5081067113729961,2
228,228,44.22087676767677,-76.53250303030303,0.6264171096869783,2
229,229,44.22087676767677,-76.52974242424243,0.7670614200598029,2
230,230,44.22087676767677,-76.52698181818182,0.9373027502370592,2
231,231,44.22087676767677,-76.52422121212122,1.153757078952464,2
232,232,44.22087676767677,-76.52146060606061,1.4447372218833263,2
233,233,44.22087676767677,-76.51870000000001,1.850275822521233,2
234,234,44.22087676767677,-76.5159393939394,2.4186775255544912,2
235,235,44.22087676767677,-76.51317878787879,3.1991067403894458,2
236,236,44.22087676767677,-76.51041818181818,4.23076841379353,2
237,237,44.22087676767677,-76.50765757575758,5.530411592377342,0
238,238,44.22087676767677,-76.50489696969697,7.0807538820905584,0
239,239,44.22087676767677,-76.50213636363637,8.822629117822068,0
240,240,44.22087676767677,-76.49937575757576,10.653155207427949,0
241,241,44.22087676767677,-76.49661515151516,12.431307679310503,0
242,242,44.22087676767677,-76.49385454545455,13.99132727354134,0
243,243,44.22087676767677,-76.49109393939395,15.163412203562604,0
